packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 119.0     , Fx: 0.03      ,Fy: -0.01     , Fz: 0.04      , Mx: -0.0071   ,My: 0.0282    ,Mz: 0.0185    ,
Counter: 120.0     , Fx: -0.02     ,Fy: -0.02     , Fz: -0.08     , Mx: -0.0071   ,My: 0.0212    ,Mz: -0.0185   ,
Counter: 121.0     , Fx: -0.0      ,Fy: -0.05     , Fz: 0.0       , Mx: 0.0071    ,My: -0.0141   ,Mz: -0.0185   ,
Counter: 122.0     , Fx: -0.05     ,Fy: -0.0      , Fz: -0.04     , Mx: 0.0071    ,My: 0.0212    ,Mz: 0.0092    ,
Counter: 123.0     , Fx: 0.02      ,Fy: 0.06      , Fz: 0.22      , Mx: 0.0071    ,My: -0.0141   ,Mz: 0.0092    ,
Counter: 124.0     , Fx: -0.05     ,Fy: 0.02      , Fz: -0.12     , Mx: 0.0283    ,My: -0.0071   ,Mz: 0.0554    ,
Counter: 125.0     , Fx: -0.05     ,Fy: 0.02      , Fz: 0.29      , Mx: 0.0141    ,My: -0.0565   ,Mz: -0.0185   ,
Counter: 126.0     , Fx: -0.04     ,Fy: 0.01      , Fz: 0.08      , Mx: -0.0141   ,My: 0.0212    ,Mz: -0.0462   ,
Counter: 127.0     , Fx: 0.02      ,Fy: -0.05     , Fz: 0.04      , Mx: -0.0141   ,My: 0.0       ,Mz: 0.0092    ,
Counter: 128.0     , Fx: -0.0      ,Fy: -0.01     , Fz: 0.04      , Mx: -0.0353   ,My: 0.0       ,Mz: -0.0185   ,
Counter: 129.0     , Fx: -0.04     ,Fy: 0.0       , Fz: 0.13      , Mx: -0.0071   ,My: 0.0353    ,Mz: -0.0092   ,
Counter: 130.0     , Fx: 0.01      ,Fy: -0.04     , Fz: -0.23     , Mx: 0.0       ,My: -0.0282   ,Mz: 0.0       ,
Counter: 131.0     , Fx: 0.0       ,Fy: -0.02     , Fz: 0.24      , Mx: 0.0283    ,My: -0.0212   ,Mz: 0.0       ,
Counter: 132.0     , Fx: -0.03     ,Fy: 0.01      , Fz: 0.08      , Mx: 0.0353    ,My: -0.0071   ,Mz: 0.0       ,
Counter: 133.0     , Fx: -0.03     ,Fy: -0.01     , Fz: 0.21      , Mx: -0.0071   ,My: 0.0141    ,Mz: 0.0185    ,
Counter: 134.0     , Fx: -0.02     ,Fy: -0.01     , Fz: 0.2       , Mx: -0.0071   ,My: 0.0       ,Mz: 0.0185    ,
Counter: 135.0     , Fx: -0.04     ,Fy: -0.01     , Fz: 0.04      , Mx: 0.0071    ,My: 0.0071    ,Mz: -0.0277   ,
Counter: 136.0     , Fx: -0.01     ,Fy: -0.01     , Fz: 0.03      , Mx: -0.0353   ,My: -0.0141   ,Mz: -0.0185   ,
Counter: 137.0     , Fx: -0.02     ,Fy: -0.04     , Fz: -0.05     , Mx: 0.0141    ,My: 0.0141    ,Mz: -0.0185   ,
Counter: 138.0     , Fx: 0.02      ,Fy: 0.03      , Fz: 0.15      , Mx: 0.0212    ,My: 0.0071    ,Mz: 0.0092    ,
Counter: 139.0     , Fx: -0.01     ,Fy: -0.02     , Fz: -0.03     , Mx: 0.0141    ,My: 0.0071    ,Mz: 0.0       ,
Counter: 140.0     , Fx: 0.02      ,Fy: -0.03     , Fz: -0.19     , Mx: 0.0       ,My: -0.0282   ,Mz: -0.0277   ,
Counter: 141.0     , Fx: -0.06     ,Fy: 0.04      , Fz: 0.1       , Mx: 0.0       ,My: 0.0353    ,Mz: -0.0185   ,
Counter: 142.0     , Fx: 0.0       ,Fy: -0.07     , Fz: 0.09      , Mx: 0.0071    ,My: -0.0071   ,Mz: 0.0       ,
Counter: 143.0     , Fx: 0.02      ,Fy: -0.02     , Fz: -0.04     , Mx: -0.0212   ,My: 0.0       ,Mz: -0.037    ,
Counter: 144.0     , Fx: -0.02     ,Fy: 0.01      , Fz: 0.21      , Mx: 0.0       ,My: -0.0141   ,Mz: 0.0277    ,
Counter: 145.0     , Fx: -0.02     ,Fy: -0.01     , Fz: 0.1       , Mx: -0.0353   ,My: -0.0071   ,Mz: -0.0185   ,
Counter: 146.0     , Fx: -0.03     ,Fy: 0.03      , Fz: 0.12      , Mx: 0.0071    ,My: 0.0071    ,Mz: 0.0       ,
Counter: 147.0     , Fx: -0.03     ,Fy: -0.04     , Fz: -0.03     , Mx: 0.0141    ,My: 0.0282    ,Mz: 0.0092    ,
Counter: 148.0     , Fx: -0.02     ,Fy: 0.01      , Fz: 0.11      , Mx: -0.0071   ,My: -0.0141   ,Mz: 0.0092    ,
Counter: 149.0     , Fx: -0.02     ,Fy: 0.01      , Fz: 0.03      , Mx: 0.0283    ,My: -0.0212   ,Mz: -0.0092   ,
Counter: 150.0     , Fx: -0.02     ,Fy: -0.0      , Fz: 0.04      , Mx: 0.0212    ,My: 0.0353    ,Mz: 0.037     ,
Counter: 151.0     , Fx: 0.02      ,Fy: 0.03      , Fz: 0.13      , Mx: -0.0141   ,My: 0.0141    ,Mz: 0.0092    ,
Counter: 152.0     , Fx: -0.01     ,Fy: -0.03     , Fz: -0.27     , Mx: 0.0141    ,My: -0.0071   ,Mz: -0.0277   ,
Counter: 153.0     , Fx: -0.01     ,Fy: -0.03     , Fz: -0.19     , Mx: -0.0141   ,My: -0.0071   ,Mz: 0.0092    ,
Counter: 154.0     , Fx: 0.02      ,Fy: 0.02      , Fz: 0.07      , Mx: -0.0071   ,My: 0.0       ,Mz: -0.0277   ,
Counter: 155.0     , Fx: -0.02     ,Fy: 0.02      , Fz: 0.0       , Mx: 0.0141    ,My: -0.0353   ,Mz: 0.0185    ,
